,Date :,9/27/2021 12:49,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal_ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210906_17,VF092721_115512,day0_trial9,Chamber1,,,Sound 3,8,27.133,5.26,90.44,3.08,0,686
210906_17,VF092721_115512,day0_trial9,Chamber1,,,Shock 1,0,0,0,0,616.2,11,3366
210906_17,VF092721_115512,day0_trial9,Chamber1,,,Shock 2,0,0,0,0,424.03,2,1269
210906_17,VF092721_115512,day0_trial9,Chamber1,,,Shock 3,0,0,0,0,664.88,0,2569
,,,,,,,,,,,,,
210906_18,VF092721_115512,day0_trial9,Chamber 2,,,Sound 1,1,0.367,0.07,1.22,412.54,0,1904
210906_18,VF092721_115512,day0_trial9,Chamber 2,,,Sound 2,4,2.8,0.54,9.33,212.53,0,1537
210906_18,VF092721_115512,day0_trial9,Chamber 2,,,Sound 3,10,12.7,2.46,42.33,99.99,0,986
210906_18,VF092721_115512,day0_trial9,Chamber 2,,,Shock 1,0,0,0,0,1117.2,0,4285
210906_18,VF092721_115512,day0_trial9,Chamber 2,,,Shock 2,0,0,0,0,1456.13,216,4906
210906_18,VF092721_115512,day0_trial9,Chamber 2,,,Shock 3,0,0,0,0,939.92,0,4485
,,,,,,,,,,,,,
210906_19,VF092721_120657,day0_trial10,Chamber1,,,Sound 1,5,3.6,0.7,12,110.46,0,817
210906_19,VF092721_120657,day0_trial10,Chamber1,,,Sound 2,8,25.467,4.94,84.89,4.78,0,261
210906_19,VF092721_120657,day0_trial10,Chamber1,,,Sound 3,7,27.967,5.42,93.22,1.65,0,81
210906_19,VF092721_120657,day0_trial10,Chamber1,,,Shock 1,0,0,0,0,590.1,45,2681
210906_19,VF092721_120657,day0_trial10,Chamber1,,,Shock 2,0,0,0,0,912.13,0,4833
210906_19,VF092721_120657,day0_trial10,Chamber1,,,Shock 3,0,0,0,0,767.2,0,2243
,,,,,,,,,,,,,
210906_20,VF092721_120657,day0_trial10,Chamber 2,,,Sound 1,6,3.833,0.74,12.78,224.37,0,1305
210906_20,VF092721_120657,day0_trial10,Chamber 2,,,Sound 2,8,17.233,3.34,57.44,43.17,0,438
210906_20,VF092721_120657,day0_trial10,Chamber 2,,,Sound 3,7,13.067,2.53,43.56,86.66,0,1219
210906_20,VF092721_120657,day0_trial10,Chamber 2,,,Shock 1,0,0,0,0,1549.12,89,4967
210906_20,VF092721_120657,day0_trial10,Chamber 2,,,Shock 2,0,0,0,0,1501.92,0,4091
210906_20,VF092721_120657,day0_trial10,Chamber 2,,,Shock 3,0,0,0,0,1412.18,56,4687
,,,,,,,,,,,,,
210906_21,VF092721_122138,day0_trial11_2,Chamber1,,,Sound 1,11,6.167,1.2,20.56,56.04,0,486
210906_21,VF092721_122138,day0_trial11_2,Chamber1,,,Sound 2,16,13.933,2.7,46.44,22.75,0,239
210906_21,VF092721_122138,day0_trial11_2,Chamber1,,,Sound 3,12,25.167,4.88,83.89,4.51,0,123
210906_21,VF092721_122138,day0_trial11_2,Chamber1,,,Shock 1,0,0,0,0,715.98,24,3224
210906_21,VF092721_122138,day0_trial11_2,Chamber1,,,Shock 2,0,0,0,0,527.55,0,1659
210906_21,VF092721_122138,day0_trial11_2,Chamber1,,,Shock 3,0,0,0,0,847.98,4,3261
,,,,,,,,,,,,,
210906_22,VF092721_122138,day0_trial11_2,Chamber 2,,,Sound 1,0,0,0,0,289.74,0,1741
210906_22,VF092721_122138,day0_trial11_2,Chamber 2,,,Sound 2,13,18.9,3.66,63,22.36,0,656
210906_22,VF092721_122138,day0_trial11_2,Chamber 2,,,Sound 3,8,25.067,4.86,83.56,6.24,0,152
210906_22,VF092721_122138,day0_trial11_2,Chamber 2,,,Shock 1,0,0,0,0,1727.32,260,5031
210906_22,VF092721_122138,day0_trial11_2,Chamber 2,,,Shock 2,0,0,0,0,1460.25,0,4509
210906_22,VF092721_122138,day0_trial11_2,Chamber 2,,,Shock 3,0,0,0,0,1591.45,0,4959
,,,,,,,,,,,,,
210906_23,VF092721_123229,day0_trial12,Chamber1,,,Sound 1,3,1.733,0.34,5.78,173.47,0,1079
210906_23,VF092721_123229,day0_trial12,Chamber1,,,Sound 2,18,17.533,3.4,58.44,21.45,0,271
210906_23,VF092721_123229,day0_trial12,Chamber1,,,Sound 3,13,18.633,3.61,62.11,21.12,0,420
210906_23,VF092721_123229,day0_trial12,Chamber1,,,Shock 1,0,0,0,0,483.95,22,2286
210906_23,VF092721_123229,day0_trial12,Chamber1,,,Shock 2,0,0,0,0,532.15,0,2061
210906_23,VF092721_123229,day0_trial12,Chamber1,,,Shock 3,0,0,0,0,413.58,3,1971
,,,,,,,,,,,,,
210906_24,VF092721_123229,day0_trial12,Chamber 2,,,Sound 1,0,0,0,0,374.31,0,1460
210906_24,VF092721_123229,day0_trial12,Chamber 2,,,Sound 2,8,7.2,1.4,24,140.3,0,1024
210906_24,VF092721_123229,day0_trial12,Chamber 2,,,Sound 3,7,21.8,4.22,72.67,31.39,0,988
210906_24,VF092721_123229,day0_trial12,Chamber 2,,,Shock 1,0,0,0,0,1017.27,162,2200
210906_24,VF092721_123229,day0_trial12,Chamber 2,,,Shock 2,0,0,0,0,1050.22,0,2708
210906_24,VF092721_123229,day0_trial12,Chamber 2,,,Shock 3,0,0,0,0,1407.28,0,4487
