,Date :,5/27/2021 17:41,,,,,,,,,,,
,Motion Threshold (au):,15,,,,,,,,,,,
,Detection Method:,Linear,,,,,,,,,,,
,Min Freeze Duration (f):,10,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Component Details,,,,,,,,,,,,
,Component Name,Start Time,Duration (s),Start Frame,Duration Frames,,,,,,,,
,Sound 1, 0:02:00.000,30,3600,900,,,,,,,,
,Sound 2, 0:04:02.000,30,7260,900,,,,,,,,
,Sound 3, 0:06:04.000,30,10920,900,,,,,,,,
,Shock 1, 0:02:30.000,2,4500,60,,,,,,,,
,Shock 2, 0:04:32.000,2,8160,60,,,,,,,,
,Shock 3, 0:06:34.000,2,11820,60,,,,,,,,
,,,,,,,,,,,,,
Animal ID,Experiment,Trial,Box,Animal,Group,Component Name,Freeze Cnt,Time Freezing,Pct Total Time Freezing,Pct Component Time Freezing,Avg Motion Index,Min Motion Index,Max Motion Index
210112_27,VF050321_124859,13_day0,Chamber1,,,Shock 1,2,0.8,0.16,40,19.85,0,160
210112_27,VF050321_124859,13_day0,Chamber1,,,Shock 2,0,0,0,0,109.07,0,1466
210112_27,VF050321_124859,13_day0,Chamber1,,,Shock 3,1,0.467,0.09,23.33,47.28,0,509
,,,,,,,,,,,,,
210112_28,VF050321_124859,13_day0,Chamber 2,,,Sound 1,2,29.967,5.81,99.89,0.43,0,20
210112_28,VF050321_124859,13_day0,Chamber 2,,,Sound 2,1,30,5.81,100,0.07,0,8
210112_28,VF050321_124859,13_day0,Chamber 2,,,Sound 3,1,30,5.81,100,0.03,0,6
210112_28,VF050321_124859,13_day0,Chamber 2,,,Shock 1,2,1.3,0.25,65,2.95,0,46
210112_28,VF050321_124859,13_day0,Chamber 2,,,Shock 2,1,2,0.39,100,0.87,0,11
210112_28,VF050321_124859,13_day0,Chamber 2,,,Shock 3,1,1.667,0.32,83.33,3.23,0,52
,,,,,,,,,,,,,
210112_29,VF050321_130036,14_day0,Chamber1,,,Sound 1,6,29.367,5.69,97.89,0.78,0,53
210112_29,VF050321_130036,14_day0,Chamber1,,,Sound 2,1,30,5.81,100,0.02,0,3
210112_29,VF050321_130036,14_day0,Chamber1,,,Sound 3,2,29.967,5.81,99.89,0.06,0,15
210112_29,VF050321_130036,14_day0,Chamber1,,,Shock 1,2,1.067,0.21,53.33,10.63,0,68
210112_29,VF050321_130036,14_day0,Chamber1,,,Shock 2,2,1.267,0.25,63.33,22.25,0,256
210112_29,VF050321_130036,14_day0,Chamber1,,,Shock 3,1,0.6,0.12,30,36.43,0,242
